tree,height_m,file,bad,threshold,area_px,area_mm2,area_frac
10820,0.1,23902.tif,0,10,0,0.0,0.0
10820,0.1,23902.tif,0,20,0,0.0,0.0
10820,0.1,23902.tif,0,30,88,5.5,0.0012
10820,0.1,23902.tif,0,40,257,16.1,0.0035
10820,0.1,23902.tif,0,50,600,37.5,0.0083
10820,0.1,23902.tif,0,60,903,56.4,0.0124
10820,0.1,23902.tif,0,70,1165,72.8,0.0161
10820,0.1,23902.tif,0,80,2125,132.8,0.0293
10820,0.1,23902.tif,0,90,21837,1364.8,0.301
10820,0.1,23902.tif,0,100,64670,4041.9,0.8914
10820,1.4,23903.tif,0,10,26,1.6,0.001
10820,1.4,23903.tif,0,20,482,30.1,0.018
10820,1.4,23903.tif,0,30,1072,67.0,0.0401
10820,1.4,23903.tif,0,40,1548,96.8,0.058
10820,1.4,23903.tif,0,50,1720,107.5,0.0644
10820,1.4,23903.tif,0,60,2020,126.2,0.0756
10820,1.4,23903.tif,0,70,2412,150.8,0.0903
10820,1.4,23903.tif,0,80,3977,248.6,0.1489
10820,1.4,23903.tif,0,90,9814,613.4,0.3675
10820,1.4,23903.tif,0,100,15593,974.6,0.5839
10820,2.4,23906.tif,0,10,0,0.0,0.0
10820,2.4,23906.tif,0,20,120,7.5,0.0064
10820,2.4,23906.tif,0,30,176,11.0,0.0094
10820,2.4,23906.tif,0,40,258,16.1,0.0137
10820,2.4,23906.tif,0,50,329,20.6,0.0175
10820,2.4,23906.tif,0,60,562,35.1,0.0299
10820,2.4,23906.tif,0,70,991,61.9,0.0527
10820,2.4,23906.tif,0,80,3146,196.6,0.1673
10820,2.4,23906.tif,0,90,10283,642.7,0.5469
10820,2.4,23906.tif,0,100,15105,944.1,0.8034
11117,1.4,23881.tif,0,10,0,0.0,0.0
11117,1.4,23881.tif,0,20,92,5.8,0.0002
11117,1.4,23881.tif,0,30,240,15.0,0.0005
11117,1.4,23881.tif,0,40,2136,133.5,0.0046
11117,1.4,23881.tif,0,50,4961,310.1,0.0108
11117,1.4,23881.tif,0,60,7426,464.1,0.0161
11117,1.4,23881.tif,0,70,15571,973.2,0.0339
11117,1.4,23881.tif,0,80,24256,1516.0,0.0527
11117,1.4,23881.tif,0,90,147590,9224.4,0.3209
11117,1.4,23881.tif,0,100,342225,21389.1,0.7441
11117,3.3,23884.tif,0,10,0,0.0,0.0
11117,3.3,23884.tif,0,20,37,2.3,0.0001
11117,3.3,23884.tif,0,30,197,12.3,0.0008
11117,3.3,23884.tif,0,40,334,20.9,0.0013
11117,3.3,23884.tif,0,50,2021,126.3,0.0077
11117,3.3,23884.tif,0,60,22147,1384.2,0.0845
11117,3.3,23884.tif,0,70,57416,3588.5,0.2191
11117,3.3,23884.tif,0,80,80364,5022.8,0.3067
11117,3.3,23884.tif,0,90,111907,6994.2,0.4271
11117,3.3,23884.tif,0,100,197997,12374.8,0.7557
11117,4.3,23885.tif,0,10,0,0.0,0.0
11117,4.3,23885.tif,0,20,214,13.4,0.0009
11117,4.3,23885.tif,0,30,363,22.7,0.0016
11117,4.3,23885.tif,0,40,431,26.9,0.0019
11117,4.3,23885.tif,0,50,17816,1113.5,0.0785
11117,4.3,23885.tif,0,60,30016,1876.0,0.1322
11117,4.3,23885.tif,0,70,81809,5113.1,0.3604
11117,4.3,23885.tif,0,80,120955,7559.7,0.5329
11117,4.3,23885.tif,0,90,197752,12359.5,0.8713
11117,4.3,23885.tif,0,100,216836,13552.2,0.9553
11117,5.3,23888.tif,0,10,0,0.0,0.0
11117,5.3,23888.tif,0,20,21,1.3,0.0001
11117,5.3,23888.tif,0,30,506,31.6,0.0028
11117,5.3,23888.tif,0,40,2333,145.8,0.013
11117,5.3,23888.tif,0,50,3952,247.0,0.0221
11117,5.3,23888.tif,0,60,4900,306.2,0.0274
