tree,height_m,file,bad,threshold,area_px,area_mm2,area_frac
10820,0.1,23902.tif,0,10,13,0.8,0.0002
10820,0.1,23902.tif,0,20,262,16.4,0.004
10820,0.1,23902.tif,0,30,481,30.1,0.0073
10820,0.1,23902.tif,0,40,777,48.6,0.0118
10820,0.1,23902.tif,0,50,1083,67.7,0.0165
10820,0.1,23902.tif,0,60,3816,238.5,0.058
10820,0.1,23902.tif,0,70,24158,1509.9,0.367
10820,0.1,23902.tif,0,80,59032,3689.5,0.8968
10820,0.1,23902.tif,0,90,63309,3956.8,0.9618
10820,0.1,23902.tif,0,100,65621,4101.3,0.9969
10820,1.4,23903.tif,0,10,13,0.8,0.0007
10820,1.4,23903.tif,0,20,387,24.2,0.0214
10820,1.4,23903.tif,0,30,1236,77.2,0.0682
10820,1.4,23903.tif,0,40,1375,85.9,0.0759
10820,1.4,23903.tif,0,50,1772,110.8,0.0978
10820,1.4,23903.tif,0,60,6118,382.4,0.3377
10820,1.4,23903.tif,0,70,10891,680.7,0.6012
10820,1.4,23903.tif,0,80,15050,940.6,0.8308
10820,1.4,23903.tif,0,90,17130,1070.6,0.9456
10820,1.4,23903.tif,0,100,17880,1117.5,0.987
10820,2.4,23906.tif,0,10,0,0.0,0.0
10820,2.4,23906.tif,0,20,0,0.0,0.0
10820,2.4,23906.tif,0,30,0,0.0,0.0
10820,2.4,23906.tif,0,40,0,0.0,0.0
10820,2.4,23906.tif,0,50,0,0.0,0.0
10820,2.4,23906.tif,0,60,0,0.0,0.0
10820,2.4,23906.tif,0,70,0,0.0,0.0
10820,2.4,23906.tif,0,80,0,0.0,0.0
10820,2.4,23906.tif,0,90,0,0.0,0.0
10820,2.4,23906.tif,0,100,0,0.0,0.0
11117,1.4,23881.tif,0,10,605,37.8,0.0014
11117,1.4,23881.tif,0,20,4479,279.9,0.0102
11117,1.4,23881.tif,0,30,7090,443.1,0.0161
11117,1.4,23881.tif,0,40,9454,590.9,0.0214
11117,1.4,23881.tif,0,50,19476,1217.2,0.0442
11117,1.4,23881.tif,0,60,80386,5024.1,0.1823
11117,1.4,23881.tif,0,70,292392,18274.5,0.6631
11117,1.4,23881.tif,0,80,421978,26373.6,0.957
11117,1.4,23881.tif,0,90,436621,27288.8,0.9902
11117,1.4,23881.tif,0,100,440829,27551.8,0.9997
11117,3.3,23884.tif,0,10,154,9.6,0.0006
11117,3.3,23884.tif,0,20,2521,157.6,0.0102
11117,3.3,23884.tif,0,30,11051,690.7,0.0448
11117,3.3,23884.tif,0,40,22877,1429.8,0.0928
11117,3.3,23884.tif,0,50,57325,3582.8,0.2325
11117,3.3,23884.tif,0,60,79416,4963.5,0.3221
11117,3.3,23884.tif,0,70,113752,7109.5,0.4614
11117,3.3,23884.tif,0,80,192505,12031.6,0.7808
