file,pith_x,pith_y,flip,bad,branch
23711.tif,2748.08,1860.765,0,0,0
23713.tif,2869.7925,1845.785,0,0,0
23715.tif,2866.0475,1858.8925,0,0,0
23717.tif,2744.335,1840.1675,0,0,0
23719.tif,2881.0275,1834.55,0,0,0
23721.tif,2875.41,1830.805,0,0,1
23723.tif,2875.41,1834.55,0,0,0
23725.tif,2875.41,1840.1675,0,0,0
23727.tif,2875.41,1851.4025,0,0,0
23729.tif,2888.5175,1845.785,0,0,0
23731.tif,2869.7925,1842.04,0,0,0
23732.tif,2875.41,1827.06,0,0,0
23735.tif,2882.9,1836.4225,0,0,0
23802.tif,2875.41,1836.4225,0,0,0
23804.tif,2882.9,1843.9125,0,0,0
23805.tif,2867.92,1845.785,0,0,0
23807.tif,2867.92,1840.1675,0,0,0
23809.tif,2877.2825,1838.295,0,0,0
23811.tif,2882.9,1858.8925,0,0,0
23814.tif,2899.7525,1845.785,1,0,0
23816.tif,2879.155,1864.51,0,0,0
23818.tif,2867.92,1840.1675,0,0,0
23820.tif,2869.7925,1825.1875,0,0,0
23821.tif,2734.9725,1911.3225,1,0,0
23823.tif,2734.9725,1920.685,1,0,0
23825.tif,2734.9725,1886.98,1,0,0
23827.tif,2740.59,1900.0875,1,0,0
23829.tif,2740.59,1898.215,1,0,0
23831.tif,2738.7175,1900.0875,1,0,0
23833.tif,2746.2075,1896.3425,1,0,0
23835.tif,2731.2275,1888.8525,1,0,0
23837.tif,2734.9725,1903.8325,1,0,0
23839.tif,2748.08,1903.8325,1,0,0
23841.tif,2733.1,1903.8325,1,0,0
23843.tif,2734.9725,1900.0875,1,0,0
23845.tif,2742.4625,1894.47,1,0,0
23847.tif,2740.59,1901.96,1,0,0
23849.tif,2731.2275,1907.5775,1,0,0
23851.tif,2877.2825,1840.1675,0,0,0
23853.tif,2879.155,1842.04,0,1,0
23855.tif,2879.155,1857.02,0,0,0
23857.tif,2738.7175,1894.47,1,0,0
23859.tif,2746.2075,1900.0875,1,0,0
23861.tif,2744.335,1901.96,1,0,0
23863.tif,2736.845,1898.215,1,0,0
23865.tif,2738.7175,1907.5775,1,0,0
23867.tif,2734.9725,1892.5975,1,0,0
23869.tif,2731.2275,1901.96,1,0,0
23871.tif,2748.08,1905.705,1,0,0
23873.tif,2749.9525,1885.1075,1,0,0
23875.tif,2744.335,1907.5775,1,0,0
23877.tif,2738.7175,1915.0675,1,0,0
23879.tif,2740.59,1898.215,1,0,0
23881.tif,2871.665,1851.4025,0,0,0
23884.tif,2748.08,1894.47,1,0,0
23885.tif,2746.2075,1901.96,1,0,0
23888.tif,2734.9725,1894.47,1,0,0
23890.tif,2740.59,1907.5775,1,0,0
23892.tif,2879.155,1849.53,0,0,0
23894.tif,2881.0275,1836.4225,0,0,0
23896.tif,2903.4975,1857.02,0,0,0
23898.tif,2738.7175,1905.705,1,0,0
23900.tif,2727.4825,1888.8525,1,0,0
23902.tif,2881.0275,1834.55,0,0,0
23903.tif,2740.59,1905.705,1,0,0
23906.tif,2731.2275,1901.96,1,0,0
