tree,height_m,file,bad,dist_pith_mm,dist_edge_mm,arc_deg,arc_len_mm,max_thick_mm,area_px,area_mm2,area_frac,r_area_mm,r_bearing_mm,dist_edge_bearing_mm,bearing_deg,flip,branch
10820,0.1,23902.tif,0,,,,,,0,0.0,0.0,,,,,0,0
10820,1.4,23903.tif,0,,,,,,0,0.0,0.0,,,,,1,0
10820,2.4,23906.tif,0,,,,,,0,0.0,0.0,,,,,1,0
11117,1.4,23881.tif,0,,,,,,0,0.0,0.0,,,,,0,0
11117,3.3,23884.tif,0,,,,,,0,0.0,0.0,,,,,1,0
11117,4.3,23885.tif,0,24.1,51.1,5.5,2.5,1.8,77,4.8,0.0004,78.0,62.0,35.1,45.099999999999994,1,0
11117,5.3,23888.tif,0,,,,,,0,0.0,0.0,,,,,1,0
12243,1.4,23873.tif,0,59.3,38.9,6.8,7.3,3.0,248,15.5,0.0007,101.4,77.9,15.4,295.9,1,0
12243,2.4,23875.tif,0,77.9,15.3,0.8,1.0,0.6,18,1.1,0.0001,94.2,91.9,13.0,242.2,1,0
12243,3.4,23877.tif,0,59.8,23.8,7.0,7.7,2.5,265,16.6,0.0009,90.1,104.9,38.6,91.5,1,0
12243,4.4,23879.tif,0,25.1,45.0,20.8,11.4,6.4,859,53.7,0.0036,83.4,90.5,52.2,78.5,1,0
12603,1.4,23833.tif,0,58.3,77.1,11.6,12.2,3.5,548,34.2,0.0007,139.4,97.8,35.6,327.2,1,0
12603,3.1,23835.tif,0,110.5,8.4,10.0,20.0,4.1,952,59.5,0.0016,127.9,164.5,45.0,131.7,1,0
12603,4.1,23837.tif,0,81.6,17.4,14.7,22.8,3.4,969,60.6,0.0021,113.5,138.5,42.3,101.8,1,0
12603,5.1,23839.tif,0,82.9,12.6,18.0,28.2,4.2,1313,82.1,0.003,109.1,139.3,42.8,119.8,1,0
12603,6.1,23841.tif,0,63.0,24.1,11.9,14.1,3.1,605,37.8,0.0018,97.0,124.6,51.7,101.6,1,0
1539,1.4,23731.tif,0,92.6,47.5,3.3,5.4,2.0,182,11.4,0.0002,142.1,153.0,58.4,85.9,0,0
1539,4.0,23729.tif,0,64.8,47.0,15.2,17.6,3.6,699,43.7,0.0012,114.8,118.5,50.7,67.4,0,0
1539,5.0,23727.tif,0,57.0,51.9,21.6,22.0,2.8,782,48.9,0.0014,111.4,107.4,47.8,46.3,0,0
1539,6.0,23725.tif,0,49.1,52.5,21.1,18.5,2.6,581,36.3,0.0012,104.0,104.9,53.5,15.2,0,0
3615,1.4,23805.tif,0,85.4,50.0,1.0,1.6,0.8,28,1.8,0.0,136.5,146.7,60.2,72.1,0,0
3615,4.0,23804.tif,0,19.6,90.3,6.5,2.4,3.4,105,6.6,0.0002,113.3,117.2,94.3,228.4,0,0
3615,5.0,23802.tif,0,77.3,21.4,5.4,7.5,3.4,305,19.1,0.0006,101.9,103.0,22.6,55.8,0,0
3615,6.0,23723.tif,0,56.7,37.4,9.8,9.9,2.3,319,19.9,0.0008,96.5,96.5,37.4,82.5,0,0
3726,1.6,23816.tif,0,77.6,53.2,5.2,7.2,2.9,297,18.6,0.0004,134.0,132.4,51.7,69.5,0,0
3726,4.6,23818.tif,0,87.0,37.7,4.4,6.8,1.8,182,11.4,0.0002,127.0,129.7,40.5,79.5,0,0
3726,5.6,23820.tif,0,94.8,18.7,2.6,4.4,4.7,262,16.4,0.0004,117.9,123.6,24.4,63.1,0,0
