tree,height_m,file,bad,dist_pith_mm,dist_edge_mm,arc_deg,arc_len_mm,max_thick_mm,area_px,area_mm2,area_frac,r_area_mm,r_bearing_mm,dist_edge_bearing_mm,bearing_deg,flip,branch
10820,0.1,23902.tif,0,34.2,3.0,1.3,0.8,0.0,13,0.8,0.0002,38.1,38.3,3.2,58.7,0,0
10820,1.4,23903.tif,0,31.1,3.6,1.6,0.9,0.0,13,0.8,0.0007,35.6,57.2,25.3,101.2,1,0
10820,2.4,23906.tif,0,,,,,,0,0.0,0.0,,,,,1,0
11117,1.4,23881.tif,0,68.6,28.1,9.1,11.2,3.9,605,37.8,0.0014,100.5,99.7,27.3,27.5,0,0
11117,3.3,23884.tif,0,63.6,14.7,5.6,6.5,1.5,154,9.6,0.0006,82.9,97.7,29.5,93.0,1,0
11117,4.3,23885.tif,0,28.4,41.9,12.5,7.0,2.8,259,16.2,0.0012,78.0,69.4,33.3,58.400000000000006,1,0
11117,5.3,23888.tif,0,19.2,45.4,10.8,4.2,4.0,204,12.8,0.0012,71.3,66.7,40.8,72.8,1,0
12243,1.4,23873.tif,0,86.7,5.7,10.5,16.7,4.1,777,48.6,0.0021,101.4,112.7,17.0,91.9,1,0
12243,2.4,23875.tif,0,44.9,40.2,14.3,12.3,4.2,639,39.9,0.002,94.2,86.3,32.4,62.5,1,0
12243,3.4,23877.tif,0,71.5,14.0,5.9,7.5,2.6,238,14.9,0.0008,90.1,112.2,36.2,104.7,1,0
12243,4.4,23879.tif,0,67.1,12.8,3.5,4.1,2.8,150,9.4,0.0006,83.4,101.0,30.4,94.3,1,0
12603,1.4,23833.tif,0,34.8,101.4,8.8,5.6,3.9,217,13.6,0.0003,139.4,96.5,58.5,347.3,1,0
12603,3.1,23835.tif,0,67.5,55.1,9.3,11.4,3.8,464,29.0,0.0008,127.9,123.9,51.0,78.6,1,0
12603,4.1,23837.tif,0,102.7,5.9,7.1,13.1,3.2,498,31.1,0.0011,113.5,151.7,44.0,125.3,1,0
12603,5.1,23839.tif,0,43.7,47.2,30.6,28.3,4.2,1429,89.3,0.0033,109.1,107.1,45.2,67.8,1,0
12603,6.1,23841.tif,0,81.6,7.0,14.9,22.4,3.6,875,54.7,0.0027,97.0,133.1,43.1,131.8,1,0
1539,1.4,23731.tif,0,75.3,63.3,9.1,12.3,3.8,688,43.0,0.0008,142.1,153.0,74.2,82.2,0,0
1539,4.0,23729.tif,0,75.3,25.9,34.6,50.5,15.1,6287,392.9,0.0105,114.8,118.7,29.9,72.9,0,0
1539,5.0,23727.tif,0,56.4,51.8,37.0,37.5,3.6,1639,102.4,0.0029,111.4,107.2,47.6,47.5,0,0
1539,6.0,23725.tif,0,48.4,52.4,54.2,47.4,3.9,2079,129.9,0.0042,104.0,104.9,53.3,18.3,0,0
3615,1.4,23805.tif,0,86.6,47.9,2.1,3.2,1.8,86,5.4,0.0001,136.5,150.4,61.9,19.1,0,0
3615,4.0,23804.tif,0,19.6,90.3,6.5,2.4,3.4,97,6.1,0.0002,113.3,117.2,94.3,228.3,0,0
3615,5.0,23802.tif,0,77.4,21.5,4.9,6.7,3.3,246,15.4,0.0005,101.9,103.0,22.7,55.7,0,0
3615,6.0,23723.tif,0,57.1,37.3,5.7,5.8,2.3,169,10.6,0.0004,96.5,96.5,37.4,84.6,0,0
3726,1.6,23816.tif,0,77.9,53.2,4.9,6.8,2.6,239,14.9,0.0003,134.0,132.4,51.7,69.6,0,0
3726,4.6,23818.tif,0,102.2,23.9,0.5,0.9,0.2,13,0.8,0.0,127.0,121.9,18.8,265.5,0,0
3726,5.6,23820.tif,0,80.1,36.0,3.4,4.8,1.8,127,7.9,0.0002,117.9,126.0,44.1,83.6,0,0
3726,6.6,23821.tif,0,77.4,28.5,5.0,6.9,1.5,163,10.2,0.0004,109.9,122.4,41.0,90.6,1,0
3726,7.6,23823.tif,0,51.3,42.5,4.1,3.8,3.4,182,11.4,0.0005,99.3,109.4,52.6,222.2,1,0
4802,1.4,23814.tif,0,65.6,78.0,5.1,6.0,3.5,269,16.8,0.0003,146.8,147.8,79.0,314.2,1,0
4802,5.4,23811.tif,0,76.1,45.7,0.7,0.9,0.0,18,1.1,0.0,122.8,119.7,42.5,30.0,0,0
4802,6.4,23809.tif,0,65.7,47.1,5.9,7.0,2.4,234,14.6,0.0004,115.6,112.2,43.7,37.2,0,0
4802,7.4,23807.tif,0,57.5,50.8,23.4,24.2,3.2,1083,67.7,0.0019,111.5,104.7,44.1,19.7,0,0
6610,1.4,23843.tif,0,90.3,13.0,11.0,18.0,2.6,590,36.9,0.0013,109.8,113.9,17.1,92.8,1,0
6610,3.8,23845.tif,0,77.1,6.7,17.7,25.2,8.8,1376,86.0,0.0043,93.9,105.5,18.3,90.3,1,0
6610,4.8,23847.tif,0,63.6,14.3,18.2,22.0,7.8,1935,120.9,0.007,89.5,99.4,24.2,87.7,1,0
6610,5.8,23849.tif,0,22.2,52.2,8.7,4.3,10.9,608,38.0,0.0024,86.2,117.6,83.6,193.6,1,0
7308,3.4,23713.tif,0,65.8,35.9,36.6,43.1,3.4,1819,113.7,0.0037,104.7,105.7,36.9,57.1,0,0
7308,4.4,23715.tif,0,56.1,36.4,23.5,23.7,3.2,933,58.3,0.0023,95.4,94.8,35.8,29.0,0,0
7308,5.4,23717.tif,0,48.7,36.1,99.0,88.9,4.4,4578,286.1,0.0125,89.9,90.4,36.6,17.6,0,0
7308,6.4,23719.tif,0,42.4,38.8,36.4,27.7,2.7,908,56.8,0.0029,83.8,82.0,37.0,54.3,0,0
7308,7.4,23721.tif,0,,,,,,0,0.0,0.0,80.7,84.5,43.2,,0,1
7308,8.4,23735.tif,0,23.9,43.9,13.4,5.8,2.0,186,11.6,0.0008,69.8,66.1,40.2,5.9,0,0
7308,9.4,23732.tif,0,,,,,,0,0.0,0.0,,,,,0,0
8249,0.12,23896.tif,0,12.5,28.0,22.6,5.7,3.0,199,12.4,0.0024,44.1,47.1,31.1,138.0,0,0
8249,1.12,23898.tif,0,,,,,,0,0.0,0.0,,,,,1,0
8249,1.4,23900.tif,0,,,,,,0,0.0,0.0,,,,,1,0
8430,0.3,23890.tif,0,35.0,14.1,4.5,2.9,3.1,145,9.1,0.0021,53.0,78.6,39.6,105.7,1,0
8430,1.4,23892.tif,0,,,,,,0,0.0,0.0,,,,,0,0
8430,2.3,23894.tif,0,,,,,,0,0.0,0.0,,,,,0,0
8627,1.4,23865.tif,0,56.0,32.1,5.1,5.1,1.8,132,8.2,0.0005,90.0,94.9,36.9,75.4,1,0
8627,3.4,23867.tif,0,55.1,22.7,3.1,3.1,2.5,106,6.6,0.0005,80.2,78.2,20.6,78.0,1,0
8627,4.4,23869.tif,0,33.0,27.5,20.0,14.1,11.5,1172,73.2,0.0065,74.6,66.6,19.4,63.7,1,0
8627,5.4,23871.tif,0,29.6,28.2,26.6,16.2,6.7,887,55.4,0.0058,69.4,70.5,29.3,63.0,1,0
8714,1.4,23825.tif,0,79.9,34.6,4.1,5.9,3.8,325,20.3,0.0006,119.0,114.4,30.0,66.3,1,0
8714,2.0,23827.tif,0,58.9,28.5,34.1,40.7,10.6,4407,275.4,0.0103,106.4,102.4,24.5,58.900000000000006,1,0
8714,3.0,23829.tif,0,19.2,59.2,33.1,17.7,15.8,2057,128.6,0.0052,102.9,115.0,71.3,84.9,1,0
8714,4.0,23831.tif,0,67.6,16.3,7.5,9.3,3.5,398,24.9,0.0014,90.3,116.4,42.4,125.7,1,0
prune,1.4,23851.tif,0,92.8,16.8,3.2,5.3,1.9,155,9.7,0.0003,111.5,109.5,14.8,112.0,0,0
prune,2.5,23853.tif,1,,,,,,0,0.0,0.0,,,,,0,0
prune,3.5,23855.tif,0,,,,,,0,0.0,0.0,,,,,0,0
prune,4.5,23857.tif,0,54.2,27.7,18.6,19.4,4.8,853,53.3,0.0027,94.9,113.4,46.2,99.9,1,0
prune,5.5,23859.tif,0,75.0,8.3,8.2,11.1,3.7,498,31.1,0.002,88.4,126.3,46.2,136.8,1,0
prune,6.5,23861.tif,0,61.8,14.3,9.5,11.2,10.1,1575,98.4,0.006,87.6,115.4,42.1,108.3,1,0
prune,7.5,23863.tif,0,10.7,60.4,38.7,8.7,3.4,341,21.3,0.0018,76.2,112.2,96.4,146.3,1,0
