tree,height_m,file,bad,dist_pith_mm,dist_edge_mm,arc_deg,arc_len_mm,max_thick_mm,area_px,area_mm2,area_frac,r_area_mm,r_bearing_mm,dist_edge_bearing_mm,area_t10_mm2,area_t20_mm2,area_t30_mm2,area_t40_mm2,area_t50_mm2,area_t60_mm2,area_t70_mm2,area_t80_mm2,area_t90_mm2,area_t100_mm2
10820,0.1,23902.tif,0,,,,,,0,0.0,0.0,,,,0.0,0.0,5.5,16.1,26.5,48.6,57.8,99.4,1242.0,3666.7
10820,1.4,23903.tif,0,,,,,,0,0.0,0.0,,,,0.0,10.3,33.2,60.1,67.8,83.7,104.4,164.8,503.4,814.6
10820,2.4,23906.tif,0,,,,,,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11117,1.4,23881.tif,0,,,,,,0,0.0,0.0,,,,0.0,5.8,20.2,133.5,310.1,464.1,973.2,1516.0,8678.9,20032.4
11117,3.3,23884.tif,0,,,,,,0,0.0,0.0,,,,0.0,7.1,46.5,136.2,677.7,1383.4,3497.3,4898.2,6871.0,11559.7
11117,4.3,23885.tif,0,24.1,51.1,5.5,2.5,1.8,77,4.8,0.0004,78.0,62.0,35.1,4.8,33.4,191.2,327.7,1113.5,1866.2,5012.1,7422.8,11569.8,12789.8
11117,5.3,23888.tif,0,,,,,,0,0.0,0.0,,,,0.0,8.1,31.6,145.8,247.0,465.2,3670.1,5159.0,7546.8,8990.2
12243,1.4,23873.tif,0,59.3,38.9,6.8,7.3,3.0,248,15.5,0.0007,101.4,77.9,15.4,15.5,72.1,154.8,297.5,412.9,491.4,1778.1,2942.5,14532.6,21987.5
12243,2.4,23875.tif,0,77.9,15.3,0.8,1.0,0.6,18,1.1,0.0001,94.2,91.9,13.0,1.1,33.2,103.2,207.7,277.8,337.5,920.1,9860.1,18531.9,19870.3
12243,3.4,23877.tif,0,59.8,23.8,7.0,7.7,2.5,265,16.6,0.0009,90.1,104.9,38.6,16.6,89.9,130.2,266.4,357.8,439.4,1590.1,8796.3,14926.2,17899.1
12243,4.4,23879.tif,0,25.1,45.0,20.8,11.4,6.4,859,53.7,0.0036,83.4,90.5,52.2,53.7,295.4,330.6,379.8,626.9,1494.7,4793.6,7738.6,13402.9,14454.6
